89979	89979_QuestoesQ__Imagem__2334.png	0	Sistema de Equações
90438	90438_QuestoesQ__Imagem__2353.png	0	Racionais
90585	90585_QuestoesQ__Imagem__2369.png	0	Racionais
95274	95274_QuestoesQ__Imagem__2562.png	1	Racionais
96285	96285_QuestoesQ__Imagem__2618.png	2	Racionais
96324	96324_QuestoesQ__Imagem__2619.png	2	Racionais
97163	97163_QuestoesQ__Imagem__2648.png	1	Racionais
97197	97197_QuestoesQ__Imagem__2651.png	3	Racionais
97223	97223_QuestoesQ__Imagem__2653.png	3	Racionais
98175	98175_QuestoesQ__Imagem__2721.png	2	Racionais
